Species,2025–26 total allowable catch (tonnes),2024–25 total allowable catch (tonnes),2023–24 total allowable catch (tonnes),2022–23 total allowable catch (tonnes),2021–22 total allowable catch (tonnes),2020–21 total allowable catch (tonnes),2019–20 total allowable catch (tonnes)
Albacore tuna (eastern),2500,2500,2500,2500,2500,2500,2500
Alfonsino,1017,1017,1017,1017,1017,1017,1017
Australian sardine,8100,8130,8060,7970,7980,9190,9050
Bigeye tuna (eastern),,1056,1056,1056,1056,1056,1056
Bigeye tuna (western),,2000,2000,2000,2000,2000,2000
Bight redfish,935,959,959,890,893,893,600
Blue eye trevalla,282,260,238,241,241,448,458
Blue grenadier,17084,17084,17084,18275,12183,12183,12183
Blue mackerel - eastern sub-area,15510,11530,11610,11450,11440,11970,11970
Blue mackerel - western sub-area,4320,3240,3240,3240,3210,3210,3240
Blue warehou,,30,30,50,50,118,118
Broad billed swordfish (eastern),,1047,1047,1047,1047,1163,1250
Broad billed swordfish (western),,3000,3000,3000,3000,3000,3000
Commercial scallop,,3887,3892,3862,3905,3000,3897
Deepwater flathead,940,940,1238,1238,1238,1238,1128
Deepwater shark basket (eastern),24,24,24,24,24,24,24
Deepwater shark basket (western),327,327,235,235,235,235,235
Doughboy scallop,,100,100,100,100,100,100
Elephantfish,114,114,114,114,114,114,114
Flathead,2333,2333,2333,2333,2333,2010,2468
Gemfish (eastern),100,100,"100 (incidental)",100,100,100,100
Gemfish (western),180,180,180,340,343,300,200
Gummy shark,1564,1558,1672,1672,1672,1775,1785
Jack mackerel (eastern sub-area),13000,18650,18720,18620,18630,18580,18730
Jack mackerel (western sub-area),8490,2100,2100,4190,4180,4170,4200
Jackass morwong,50,50,50,20,463,468,469
John dory,60,60,60,60,60,452,395
Mackerel icefish,,1824,714,2616,1528,406,527
Mirror dory,334,182,121,129,144,137,188
Ocean perch,318,318,318,305,304,239,241
Orange roughy (Cascade Plateau),397,397,397,500,500,500,500
Orange roughy (eastern),880,879,975,1074,1277,1276,900
Orange roughy (GAB Albany & Esperance),50,50,50,50,50,50,50
Orange roughy (southern),"98 (67 Pedra Branca, 31 incidental)","98 (67 Pedra Branca, 31 incidental)","105 (74 Pedra Branca, 31 incidental)",113,127,125,94
Orange roughy (western),60,60,60,60,60,60,60
Oreo, basket,137,137,137,137,139,185,185
Patagonian toothfish (HIMI),,2120,2400,2510,2760,3030,3030
Patagonian toothfish (MITF),468,468,635,635,555,555,450
Pink ling,1541,1533,1565,1568,1121,1310,1288
Redbait - eastern sub-area,6470,5390,5380,5370,3440,3420,3150
Redbait - western sub-area,4010,3340,6680,6680,6680,6640,6680
Redfish,30,30,30,30,50,50,50
Ribaldo,393,393,393,397,396,422,422
Royal red prawn,628,628,628,651,605,403,409
Sawshark,525,525,525,519,509,432,430
School shark,207,197,225,250,194,195,189
School whiting,1202,914,914,917,917,788,788
Silver trevally,25,25,25,51,197,289,292
Silver warehou,350,350,350,350,450,450,450
Smooth oreo dory (Cascade Plateau),150,150,150,150,150,150,150
Smooth oreo dory (other),90,90,90,90,90,135,90
Southern bluefin tuna,,6930,6930,5926.5,5926.5,5926.5,6165
Squid gear,,550 standard squid jigging machines,550 standard squid jigging machines,550 standard squid jigging machines,550 standard squid jigging machines,550 standard squid jigging machines,550 standard squid jigging machines
Striped marlin (eastern),,311,311,311,351,351,351
Striped marlin (western),,125,125,125,125,125,125
Yellowfin tuna (eastern),,2400,2400,2400,2400,2400,2400
Yellowfin tuna (western),,2000,2000,2000,5000,5000
Orange roughy (ECDWT),50,50,50,50,50,50,50
Boarfish (ECDWT) trigger,200,200,200,200,200,200,200
Hagfish,80,,,,,,
