Species,2025–26 total allowable catch (tonnes),2024–25 total allowable catch (tonnes),2023–24 total allowable catch (tonnes),2022–23 total allowable catch (tonnes),2021–22 total allowable catch (tonnes)
Jack mackerel (eastern sub-area),13000.0,18650.0,18720.0,18620.0,18630.0
Blue grenadier,17084.0,17084.0,17084.0,18275.0,12183.0
Blue mackerel - eastern sub-area,15510.0,11530.0,11610.0,11450.0,11440.0
Australian sardine,8100.0,8130.0,8060.0,7970.0,7980.0
Redbait - western sub-area,4010.0,3340.0,6680.0,6680.0,6680.0
Redbait - eastern sub-area,6470.0,5390.0,5380.0,5370.0,3440.0
Southern bluefin tuna,,6930.0,6930.0,5926.5,5926.5
Jack mackerel (western sub-area),8490.0,2100.0,2100.0,4190.0,4180.0
Blue mackerel - western sub-area,4320.0,3240.0,3240.0,3240.0,3210.0
Commercial scallop,,3887.0,3892.0,3862.0,3905.0
Albacore tuna (eastern),2500.0,2500.0,2500.0,2500.0,2500.0
Broad billed swordfish (western),,3000.0,3000.0,3000.0,3000.0
